label,text
spam,TIN VUI! SIM của bạn trúng thưởng IPAD PRO M2. Gọi 0981500958 trong vòng 15h để nhận!
ham,Bài tập Toán khó quá. Bạn giải thích giúp mình được không?
spam,VAY ONLINE: Lãi suất chỉ 3%/tháng. Đăng ký: m.loan.com
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: www.secure.com
ham,Bạn gửi cho mình báo cáo của dự án B được không?
ham,"Bạn ơi, 12h54 mình gặp nhau công viên được không?"
ham,Hôm nay mình nấu pizza. Bạn qua ăn không?
spam,HOT DEAL: Giảm 44% tại Sendo. Mã: SALE306. Hết hạn trong 16h!
spam,KHẨN: Tài khoản Ngân hàng của bạn sắp bị khóa. Xác minh tại: www.secure.vn
ham,Mình cần review với presentation. Bạn có thể giúp không?
ham,Bạn có tài liệu môn Hóa không? Cho mình mượn với.
spam,CHÚC MỪNG! Bạn đã trúng IPHONE 14 trị giá 10000000đ. Liên hệ 0909295384 để nhận quà!
spam,BẠN ĐÃ TRÚNG! MACBOOK PRO M3 trị giá 5000000đ từ Shopee. Xác nhận tại: www.claim-prize.net
spam,HỌC TRADE COIN MIỄN PHÍ. Đăng ký: app.invest.online. Số lượng có hạn!
spam,XIN CHÚC MỪNG! Bạn được chọn nhận IPAD PRO M2. Xác nhận ngay: app.claim-prize.asia
spam,CHÚC MỪNG BẠN! Số điện thoại của bạn trúng TV SONY 8K. Nhận quà tại: m.claim-prize.online
ham,Mình cần hỗ trợ với code. Bạn có thể giúp không?
ham,Bạn có biết chỗ nào bán máy ảnh tốt không? Mình đang cần.
spam,VAY ONLINE: Lãi suất chỉ 5%/tháng. Đăng ký: www.loan.net
ham,Mình tìm nhóm làm bài tập lớn môn Lập trình. Bạn có muốn join không?
ham,"Hôm nay nắng đẹp, mình đi đi shopping không bạn?"
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi café.
spam,TIN VUI! SIM của bạn trúng thưởng ĐỒNG HỒ APPLE WATCH. Gọi 0932646303 trong vòng 25h để nhận!
ham,Bạn có review về điện thoại không? Mình đang định mua.
ham,Mình vừa đi ăn xong. Hôm nay trời đẹp lắm!
ham,Hôm nay mình nấu cơm rang. Bạn qua ăn không?
spam,CẢNH BÁO: Ví điện tử của bạn có dấu hiệu bất thường. Kiểm tra: app.secure.com
spam,"CẦN TIỀN GẤP? Vay đến 5000000đ, không thế chấp. Gọi: 0979229316"
spam,ƯU ĐÃI LỚN: Mua điện thoại chỉ với 5trđ tại www.shop.net. Mã: SALE653
spam,BẠN ĐÃ TRÚNG! SAMSUNG S23 trị giá 1000000đ từ FPT. Xác nhận tại: www.claim-prize.online
spam,SALE SỐC: Giảm đến 78% điện tử. Truy cập www.shop.online ngay!
spam,BẠN ĐÃ TRÚNG! XE MÁY HONDA trị giá 5000000đ từ Tiki. Xác nhận tại: www.claim-prize.com
spam,HOT DEAL: Giảm 66% tại Shopee. Mã: SALE221. Hết hạn trong 9h!
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi dạo.
ham,Hôm nay mình nấu phở. Bạn qua ăn không?
spam,KHẨN: Tài khoản Tài khoản của bạn sắp bị khóa. Xác minh tại: www.secure.net
spam,SALE SỐC: Giảm đến 72% gia dụng. Truy cập www.shop.com ngay!
spam,XIN CHÚC MỪNG! Bạn được chọn nhận IPAD PRO M2. Xác nhận ngay: vn.claim-prize.asia
ham,"Bạn ơi, 22h27 mình gặp nhau trung tâm được không?"
ham,Hôm nay mình nấu cơm rang. Bạn qua ăn không?
spam,CHÚC MỪNG BẠN! Số điện thoại của bạn trúng TV SONY 8K. Nhận quà tại: app.claim-prize.asia
ham,Mai 21h53 mình học nhóm môn Hóa nhé?
spam,HOT DEAL: Giảm 31% tại Shopee. Mã: SALE679. Hết hạn trong 1h!
spam,KHẨN: Tài khoản Ngân hàng của bạn sắp bị khóa. Xác minh tại: vn.secure.online
spam,FLASH SALE 8H: Samsung giảm 63%. Số lượng có hạn!
spam,HỖ TRỢ VAY VỐN: Duyệt tự động qua app. Tải ngay: www.loan.online
spam,"CẦN TIỀN GẤP? Vay đến 5000000đ, không thế chấp. Gọi: 0962986840"
spam,HỖ TRỢ VAY VỐN: Duyệt tự động qua app. Tải ngay: www.loan.online
ham,Deadline product launch là khi nào? Mình cần chuẩn bị số liệu.
ham,Bạn gửi cho mình báo cáo của dự án B được không?
ham,Họp dự án B chuyển sang 12h nhé. Nhớ mang laptop.
spam,CẢNH BÁO: Ví điện tử của bạn có dấu hiệu bất thường. Kiểm tra: www.secure.vn
ham,Bạn có review về máy ảnh không? Mình đang định mua.
spam,BẠN ĐÃ TRÚNG! TV SONY 4K trị giá 500000đ từ Viettel. Xác nhận tại: www.claim-prize.online
ham,Bạn có biết chỗ nào bán điện thoại tốt không? Mình đang cần.
ham,Họp kế hoạch quý chuyển sang 11h nhé. Nhớ mang laptop.
ham,Deadline product launch là khi nào? Mình cần chuẩn bị laptop.
ham,Team mình họp online lúc 20h58 nhé. Link meet: meet.google.com/lrpcdtehlt
spam,SALE SỐC: Giảm đến 53% mỹ phẩm. Truy cập www.shop.vn ngay!
ham,Họp chiến dịch mới chuyển sang 11h nhé. Nhớ mang bản vẽ.
spam,"VAY TIỀN NHANH: Chỉ cần CMND, giải ngân sau 25h. LH: www.loan.online"
spam,KHẨN: Tài khoản Ngân hàng của bạn sắp bị khóa. Xác minh tại: www.secure.com
ham,Deadline đồ án môn Lập trình là khi nào?
ham,Cuối tuần này bạn có kế hoạch gì không? Mình muốn rủ đi đi café.
ham,Bài tập Lý khó quá. Bạn giải thích giúp mình được không?
ham,Bạn gửi cho mình proposal của kế hoạch quý được không?
ham,Tối nay 8h mình đi café nhé. công viên như mọi khi.
ham,Bạn có biết chỗ nào bán tai nghe tốt không? Mình đang cần.
ham,Hôm nay mình nấu gà rán. Bạn qua ăn không?
spam,THÔNG BÁO KHẨN: SIM cần xác minh gấp. Truy cập: www.secure.net
spam,SALE SỐC: Giảm đến 77% gia dụng. Truy cập www.shop.com ngay!
ham,Bạn có tài liệu môn Lập trình không? Cho mình mượn với.
spam,ƯU ĐÃI LỚN: Mua điện thoại chỉ với 1trđ tại www.shop.net. Mã: SALE229
ham,Họp kế hoạch quý chuyển sang 9h nhé. Nhớ mang bản vẽ.
ham,Mình mới mua máy ảnh mới. Cuối tuần qua xem nhé!
spam,SALE SỐC: Giảm đến 37% điện tử. Truy cập www.shop.online ngay!
spam,TIN VUI! SIM của bạn trúng thưởng IPHONE 14. Gọi 0905460336 trong vòng 28h để nhận!
spam,HỖ TRỢ VAY VỐN: Duyệt tự động qua app. Tải ngay: www.loan.com
ham,"Hôm nay trời mưa, mình đi đi ăn không bạn?"
ham,Bạn gửi cho mình báo cáo của dự án B được không?
ham,Bạn có review về máy ảnh không? Mình đang định mua.
